proj_heading,proj_url
Research assistant on Iraqi Arab politics needed (Iraqi Arabs only)                            ,/projects/research/research-assistant-iraqi-arab-politics/
VERY fast Adobe InDesign Work needed                            ,/projects/graphic-design/very-fast-adobe-indesign-work/
Mobile development                            ,/projects/mobile-phone/mobile-development-17313285/
find matches on my Wordpress website                            ,/projects/graphic-design/find-matches-wordpress-website/
Web- and mobile Tool for staffing agency / We only accept and read individual offers                            ,/projects/php/web-mobile-tool-for-staffing/
I need my 15 year old son's apple password ( I already have the apple ID)                            ,/projects/mobile-phone/need-year-old-son-apple/
MySQL work: Update Q&A for SRF (Smart Remedy Finder)                            ,/projects/php/mysql-work-update-for-srf/
Sales for online digital marketing agency for small businesses                            ,/projects/internet-marketing/sales-for-online-digital-marketing/
Design and Develop an esports website / platform !                            ,/projects/graphic-design/design-develop-esports-website-platform/
Build a website for a customized video gallery and database                            ,/projects/graphic-design/build-website-for-customized-video/
Knowledgeable expert needed for Windows/UWP/XBox One Game Project                            ,/projects/software-architecture/knowledgeable-expert-needed-for-windows/
Need a master in wordpress and php                            ,/projects/php/need-master-wordpress-php/
ICO Script and ICO Lister Script                            ,/projects/php/ico-script-ico-lister-script/
Help with email/godaddy integration                            ,/projects/email-handling/help-with-email-godaddy-integration/
Edits to the website www.ubiquityrobotics.com                            ,/projects/graphic-design/edits-the-website-www-ubiquityrobotics/
You have to design the selection strategy of the best Load Carrier Available at a Location to maximize a courier company profit.                            ,/projects/python/you-have-design-the-selection-17221786/
Design a Institutional Website                            ,/projects/graphic-design/design-institutional-website/
Hybrid mobile app development                            ,/projects/mobile-phone/hybrid-mobile-app-development-17194767/
youtube intro and ended last intro and logo                            ,/projects/graphic-design/youtube-intro-ended-last-intro/
Project for Hang L.                            ,/projects/php/project-for-hang-17175885/
Step by step to learn me facebook google and may be instagram advertisement                            ,/projects/facebook-marketing/step-step-learn-facebook-google/
analyse data in SPSS                            ,/projects/excel/analyse-data-spss/
Move My Mailchimp Lists and Automation to Mailerlite                            ,/projects/internet-marketing/move-mailchimp-lists-automation/
iOS Bug Fixes                            ,/projects/mobile-phone/ios-bug-fixes-17162578/
Project Management discussion                            ,/projects/research-writing/project-management-discussion/
Project for Robert N.                            ,/projects/graphic-design/project-for-robert-17156265/
Project for Abdul M.                            ,/projects/software-architecture/project-for-abdul-17129436/
Investigative research of possible Chinese money launderer.                            ,/projects/english-us/investigative-research-possible-chinese-17103411/
Investigative research of possible Chinese money launderer.                            ,/projects/english-us/investigative-research-possible-chinese/
Build me a webcrawler for icobench.com                            ,/projects/html/build-webcrawler-for-icobench-com/
Build me a webside. webside with online store of building idustry                            ,/projects/graphic-design/build-webside-webside-with-online/
Design Development (Architecture) for Development Application                            ,/projects/autocad/design-development-architecture-for/
IO chip board test                            ,/projects/electrical-engineering/chip-board-test/
You have to design the selection strategy of the best Load Carrier Available at a Location to maximize a courier company profit.                            ,/projects/python/you-have-design-the-selection/
Design a simple shell                            ,/projects/articles/design-simple-shell/
"""Patigucci"" x Victoria BC                            ",/contest/quotpatigucciquot-x-victoria-bc-1334963.html
SketchbookPro Artist                            ,/projects/illustrator/sketchbookpro-artist/
Derive Conclusions and Buckets from Answers of Questionnaire                            ,/projects/data-entry/derive-conclusions-buckets-from-answers-17035180/
Draw a Fantasy Map for Novel                            ,/projects/illustrator/draw-fantasy-map-for-novel/
German X-Theme Web Designer & Wordpress Developer                            ,/projects/php/german-theme-web-designer-wordpress/
Derive Conclusions and Buckets from Answers of Questionnaire.                            ,/projects/data-entry/derive-conclusions-buckets-from-answers-16999063/
Derive Conclusions and Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-buckets-from-answers-16992691/
Derive Conclusions & Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-buckets-from-answers/
Derive Conclusions & Create Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-create-buckets-from-16990548/
Derive Conclusions and Create Buckets from Answers of a Questionnaire.                            ,/projects/data-entry/derive-conclusions-create-buckets-from/
Hire a Virtual Assistant to publish 250 apartments                            ,/projects/data-entry/list-apartments-our-site/
Need Logo Design                            ,/contest/need-logo-design-1328346.html
Design Mobile App Screens (Based on Perfect Mockups)                            ,/projects/graphic-design/design-mobile-app-screens-based-16980816/
shell linux                            ,/projects/c-programming/shell-linux/
Conversion tool - Windows 10 Phone to Android for SMS messages and WhatsApp history                            ,/projects/mobile-phone/conversion-tool-windows-phone-android/
Step by step to learn me facebook google and may be instagram advertisement                            ,/projects/facebook-marketing/step-step-learn-facebook-google/
analyse data in SPSS                            ,/projects/excel/analyse-data-spss/
Move My Mailchimp Lists and Automation to Mailerlite                            ,/projects/internet-marketing/move-mailchimp-lists-automation/
iOS Bug Fixes                            ,/projects/mobile-phone/ios-bug-fixes-17162578/
Project Management discussion                            ,/projects/research-writing/project-management-discussion/
Project for Robert N.                            ,/projects/graphic-design/project-for-robert-17156265/
Project for Abdul M.                            ,/projects/software-architecture/project-for-abdul-17129436/
Investigative research of possible Chinese money launderer.                            ,/projects/english-us/investigative-research-possible-chinese-17103411/
Investigative research of possible Chinese money launderer.                            ,/projects/english-us/investigative-research-possible-chinese/
Build me a webcrawler for icobench.com                            ,/projects/html/build-webcrawler-for-icobench-com/
Build me a webside. webside with online store of building idustry                            ,/projects/graphic-design/build-webside-webside-with-online/
Design Development (Architecture) for Development Application                            ,/projects/autocad/design-development-architecture-for/
IO chip board test                            ,/projects/electrical-engineering/chip-board-test/
