employer,proj_heading,proj_url
1,Research assistant on Iraqi Arab politics needed (Iraqi Arabs only)                            ,/projects/research/research-assistant-iraqi-arab-politics/
1,Syrian Arabic Translation required ($2-8 USD / hour),/projects/arabic/syrian-arabic-translation-required/
1,Certificate help ($30-250 USD),/projects/graphic-design/certificate-help/
1,I need to reorganise my dropbox folder and bring all my pdfs into either mendeley or zotaro ($15-25 USD / hour),/projects/data-entry/need-reorganise-dropbox-folder-bring/
1,Chechen society research ($10-30 USD),/projects/russian/chechen-society-research/
1,Syrian Arabic translation ($30-250 USD),/projects/translation/syrian-arabic-translation/
2,VERY fast Adobe InDesign Work needed                            ,/projects/graphic-design/very-fast-adobe-indesign-work/
2,Market research for startup company ($10-100 USD),/projects/internet-marketing/market-research-for-startup-company/
2,Very quick & easy photo cropping ($10-30 USD),/projects/photo-editing/very-quick-easy-photo-cropping/
2,Create Graphic from Inspiration ($10-30 USD),/projects/graphic-design/create-graphic-from-inspiration/
2,Market Research for Subset of Art Print Industry ($2-50 USD / hour),/projects/excel/market-research-for-subset-art/
2,Upload my artworks to FineArtAmerica.com Profile ($50 USD),/projects/website-management/upload-artworks-fineartamerica-com/
3,Mobile development                            ,/projects/mobile-phone/mobile-development-17313285/
4,find matches on my Wordpress website                            ,/projects/graphic-design/find-matches-wordpress-website/
5,Web- and mobile Tool for staffing agency / We only accept and read individual offers                            ,/projects/php/web-mobile-tool-for-staffing/
6,I need my 15 year old son's apple password ( I already have the apple ID)                            ,/projects/mobile-phone/need-year-old-son-apple/
6,I need a logo designed ($10-30 USD),/projects/graphic-design/need-logo-designed-13659236/
6,I need a logo for my handbag business ($10-30 USD),/projects/photoshop-design/need-logo-for-handbag-business/
6,Handbag Spa company logo ($10-30 USD),/projects/graphic-design/handbag-spa-company-logo/
6,Removing the Background out of photos that will be used for online e commerce store ($10-30 USD),/projects/photo-editing/removing-the-background-out-photos/
7,MySQL work: Update Q&A for SRF (Smart Remedy Finder)                            ,/projects/php/mysql-work-update-for-srf/
7,Update existing website using MySQL & Wordpress ($30-250 USD),/projects/php/update-existing-website-using-mysql/
7,Modify existing WordPress homeopathic website ($30-250 USD),/projects/php/modify-existing-wordpress-homeopathic/
7,Update existing website using MySQL & Wordpress - 04/04/2018 17:42 EDT ($30-250 USD),/projects/php/update-existing-website-using-mysql-16629931/
8,Sales for online digital marketing agency for small businesses                            ,/projects/internet-marketing/sales-for-online-digital-marketing/
9,Design and Develop an esports website / platform !                            ,/projects/graphic-design/design-develop-esports-website-platform/
9,Construieste un Site Web  ($250-750 USD),/projects/graphic-design/construieste-site-web/
10,Build a website for a customized video gallery and database                            ,/projects/graphic-design/build-website-for-customized-video/
10,Build a Website for a customized video gallery ($250-750 USD),/projects/programming/video-gallery-website/
11,Knowledgeable expert needed for Windows/UWP/XBox One Game Project                            ,/projects/software-architecture/knowledgeable-expert-needed-for-windows/
11,Resize VB6 Forms Automatically ($10-30 USD),/projects/visual-basic-software-architecture/resize-forms-automatically/
11,Build a nice-looking indie game company website/store ($30-250 USD),/projects/graphic-design-website-design/build-nice-looking-indie-game/
11,Convert VB6 project to newest VB10 ($30-100 USD),/projects/visual-basic-net/convert-project-newest/
11,Resize VB6 Forms to 1366x768 automatically ($10-30 USD),/projects/visual-basic-software-architecture/resize-forms-automatically.4988011/
11,Random product display in OpenCart ($15-25 USD / hour),/projects/php-javascript/random-product-display-opencart/
12,Need a master in wordpress and php                            ,/projects/php/need-master-wordpress-php/
12,joomla put a number from frontend  on a backend field ($8-15 USD / hour),/projects/php-joomla/joomla-put-number-from-frontend/
12,fixing some plugins bugs on wordpress and some css with pages ($10-30 USD),/projects/php/fixing-some-plugins-bugs-wordpress/
12,Make the reservation form to appear fast and improve the web load time  ($10-30 USD),/projects/php/make-the-reservation-form-appear/
12,5 landing pages in wordpress - repost ($30-250 USD),/projects/php-website-design/landing-pages-wordpress-repost/
12,add features in a joomla component ($30-100 USD),/projects/php-mysql/add-features-joomla-component/
13,ICO Script and ICO Lister Script                            ,/projects/php/ico-script-ico-lister-script/
13,Clone with new design ($750-1500 USD),/projects/graphic-design/clone-with-new-design/
13,Cryprocurrency exchange website ($15-25 USD / hour),/projects/php/cryprocurrency-exchange-website/
13,Bitcoin project ($180-240 USD),/projects/php/bitcoin-project-12808594/
13,Solving API Btc auto payment plus a few change ($30-250 USD),/projects/php/solving-api-btc-auto-payment/
13,Bitcoin Script ($160-180 USD),/projects/php/bitcoin-script/
14,Help with email/godaddy integration                            ,/projects/email-handling/help-with-email-godaddy-integration/
14,Wordpress Guru Needed ($15-25 USD / hour),/projects/php/wordpress-guru-needed-17199918/
14,Help with Google email acct and analytics. ($15-25 USD / hour),/projects/php/help-with-google-email-acct/
14,Help with gmail/godaddy email integration. ($20 USD),/projects/help with gmail/godaddy email integration..html
14,Keyword Research  ($30-250 USD),/projects/internet-marketing/keyword-research-16496598/
14,seo ($250-750 USD),/projects/internet-marketing/seo-13057764/
15,Edits to the website www.ubiquityrobotics.com                            ,/projects/graphic-design/edits-the-website-www-ubiquityrobotics/
