P_index,P_url,P_heading,P_ID,P_Status,P_Awarded,P_Budget,P_Repeat,P_Skill,P_Skills_Number,P_Rating,P_Reviews,P_location,P_country,P_income_group,P_selected_rank_tatol,P_fcers_selected,P_selected_rank_average,P_fcers_applying_total,P_selection_accuracy,F_Country_Match
6,https://www.freelancer.com/projects/php/add-new-item-sheets-when/,Add new item in sheets when a woocommerce order status is triggered ($15), #17557881,Completed,1,$10-15 USD,5,"CSS,HTML,MySQL,PHP,WordPress",5,5,9,"newcastle upontyne`, United Kingdom",United Kingdom,High income,4,1,4,14,0.785714286,0
7,https://www.freelancer.com/projects/programming/open-source-developers/,Open Source Developers, #17544994,In Progress,1,$30-250 USD,5,Programming,1,5,4,"Copenhagen, Denmark",Denmark,High income,2,1,2,2,0.5,0
9,https://www.freelancer.com/projects/logo-design/logo-designer-for-alternative-hair/,Logo Designer for Alternative Hair Salon, #17508499,Completed,1,$30-250 USD,0,"Business Cards,Logo Design",2,0,0,Australia,Australia,High income,18,1,18,21,0.19047619,0
10,https://www.freelancer.com/projects/software-architecture/open-source-developer-wanted-for/,Open Source Developer wanted for interview, #17469792,Completed,1,$30-250 USD,5,"Article Writing,C Programming,Javascript,Software Architecture",4,5,4,"Copenhagen, Denmark",Denmark,High income,8,1,8,8,0.125,0
12,https://www.freelancer.com/projects/graphic-design/vedio-chatting-website-for-lessons/,vedio chatting website for lessons, #17440626,In Progress,1,$250-750 USD,0,"Graphic Design,HTML,PHP,Website Design,WordPress",5,0,0,Israel,Israel,High income,21,1,21,21,0.047619048,0
15,https://www.freelancer.com/projects/video-services/cut-promo-video-for-gps/,Re-cut promo video for GPS product, #17419897,Completed,1,$30-250 USD,5,"After Effects,Video Editing,Video Production,Video Services,Videography",5,4.8,31,"Singapore, Singapore",Singapore,High income,2,1,2,9,0.888888889,0
18,https://www.freelancer.com/projects/graphic-design/business-card-require-redone/,business card require redone, #17375881,Completed,1,$10-30 AUD,0,"Business Cards,Graphic Design,Illustrator,Logo Design,Photoshop",5,5,2,"kingsford, Australia",Australia,High income,21,1,21,21,0.047619048,0
19,https://www.freelancer.com/projects/articles/turn-personal-narratives-senior-citizens/,Turn personal narratives of senior citizens into readable stories 3 pages long., #17373815,Completed,3,$30-250 USD,0,"Article Writing,Content Writing,Copywriting,Editing,Ghostwriting",5,0,0,United States,United States,High income,56,3,18.66666667,23,0.231884058,0
23,https://www.freelancer.com/projects/software-architecture/long-sql-not-running-python/,Long SQL not running in python, #17331856,Completed,1,$10-30 CAD,0,"Database Administration,MySQL,Python,Software Architecture,SQL",5,5,4,"Hamilton, Canada",Canada,High income,4,1,4,18,0.833333333,0
25,https://www.freelancer.com/projects/graphic-design/very-fast-adobe-indesign-work/,VERY fast Adobe InDesign Work needed, #17314514,Completed,1,$10-30 USD,5,"Adobe InDesign,Brochure Design,Graphic Design,Illustrator,Photoshop",5,5,21,"Brooklyn, United States",United States,High income,1,1,1,8,1,0
27,https://www.freelancer.com/projects/graphic-design/find-matches-wordpress-website/,find matches on my Wordpress website, #17303068,In Progress,1,€8-30 EUR,5,"Graphic Design,HTML,PHP,Website Design,WordPress",5,4.9,6,"Münster, Germany",Germany,High income,11,1,11,20,0.5,0
33,https://www.freelancer.com/projects/graphic-design/build-website-for-customized-video/,Build a website for a customized video gallery and database, #17268563,In Progress,1,$30-250 USD,1,"Graphic Design,HTML,MySQL,PHP,Website Design",5,0,0,"Stockholm, Sweden",Sweden,High income,2,1,2,21,0.952380952,0
35,https://www.freelancer.com/projects/php/need-master-wordpress-php/,Need a master in wordpress and php, #17262039,Cancelled,1,$30-250 USD,5,"Javascript,MySQL,PHP,WordPress",4,5,16,"M, Russian Federation",Russian Federation,Upper middle income,7,1,7,21,0.714285714,0
37,https://www.freelancer.com/projects/email-handling/help-with-email-godaddy-integration/,Help with email/godaddy integration, #17249553,Completed,1,$10-30 USD,5,"Email Handling,Google Webmaster Tools",2,5,3,"Big Bear Lake, United States",United States,High income,4,1,4,7,0.571428571,0
38,https://www.freelancer.com/projects/graphic-design/edits-the-website-www-ubiquityrobotics/,Edits to the website [login to view URL], #17226125,In Progress,1,$250-750 USD,0,"Graphic Design,HTML,PHP,Website Design",4,0,0,United States,United States,High income,7,1,7,21,0.714285714,0
42,https://www.freelancer.com/projects/graphic-design/youtube-intro-ended-last-intro/,youtube intro and ended last intro and logo, #17176761,Completed,1,₹600-1500 INR,1,"After Effects,Graphic Design,Logo Design,Photoshop,Video Editing",5,0,0,"lucknow, India",India,Lower middle income,4,1,4,9,0.666666667,1
44,https://www.freelancer.com/projects/excel/analyse-data-spss/,analyse data in SPSS, #17174080,Completed,1,￥80-200 CNY,0,"Data Processing,Excel,SPSS Statistics,Statistical Analysis,Statistics",5,0,0,China,China,Upper middle income,2,1,2,21,0.952380952,0
50,https://www.freelancer.com/projects/html/build-webcrawler-for-icobench-com/,Build me a webcrawler for [login to view URL], #17098379,Completed,1,$30-250 USD,0,"HTML,Python,Web Scraping",3,0,0,Germany,Germany,High income,5,1,5,6,0.333333333,0
52,https://www.freelancer.com/projects/autocad/design-development-architecture-for/,Design Development (Architecture) for Development Application, #17063423,In Progress,1,$30-250 AUD,5,"AutoCAD,Building Architecture,Drafting,Home Design,Interior Design",5,5,14,"Mayfield, Australia",Australia,High income,11,1,11,21,0.523809524,0
58,https://www.freelancer.com/projects/illustrator/draw-fantasy-map-for-novel/,Draw a Fantasy Map for Novel, #17022043,In Progress,1,$30-250 USD,2,"Book Artist,Cartography & Maps,Illustration,Illustrator",4,4.8,1,"Dubai, United Arab Emirates",United Arab Emirates,High income,16,1,16,17,0.117647059,0
65,https://www.freelancer.com/projects/data-entry/list-apartments-our-site/,Hire a Virtual Assistant to publish 250 apartments, #16989053,Completed,1,$10-30 USD,5,"Copy Typing,Data Entry,Virtual Assistant",3,5,23,"Valencia, Spain",Spain,High income,19,1,19,21,0.142857143,0
66,https://www.freelancer.com/projects/graphic-design/design-mobile-app-screens-based-16980816/,Design Mobile App Screens (Based on Perfect Mockups), #16980816,Completed,1,$10-45 USD,5,"Graphic Design,Icon Design,Illustrator,Logo Design,Photoshop",5,4.9,442,"Princess Anne, United States",United States,High income,4,1,4,21,0.857142857,0
67,https://www.freelancer.com/projects/c-programming/shell-linux/,shell linux, #16976342,Completed,1,€8-30 EUR,0,"C Programming,Linux,Shell Script",3,0,0,Poland,Poland,High income,2,1,2,21,0.952380952,0
72,https://www.freelancer.com/projects/graphic-design/complex-sewing-patterns-for-clothing/,3 complex sewing patterns for my clothing brand, #16951560,Completed,1,$30-250 CAD,2,"Graphic Design,Illustrator,Photoshop,Photoshop Design,T-Shirts",5,5,1,"brampton, Canada",Canada,High income,9,1,9,13,0.384615385,0
