P_index,P_url,proj_repeat
1,https://www.freelancer.com/projects/mobile-phone/andriod-capture-calls/,2
2,https://www.freelancer.com/projects/graphic-design/hertfordshire-based-php-developer-needed/,2
3,https://www.freelancer.com/projects/data-entry/transcriber-proofreader-data-capturer/,0
4,https://www.freelancer.com/projects/internet-marketing/affiliate-marketing-17570305/,2
5,https://www.freelancer.com/projects/internet-marketing/affiliate-market-research/,0
6,https://www.freelancer.com/projects/php/add-new-item-sheets-when/,5
7,https://www.freelancer.com/projects/programming/open-source-developers/,5
8,https://www.freelancer.com/projects/php/ivr-psychic-system-asterix/,5
9,https://www.freelancer.com/projects/logo-design/logo-designer-for-alternative-hair/,0
10,https://www.freelancer.com/projects/software-architecture/open-source-developer-wanted-for/,5
11,https://www.freelancer.com/projects/php/looking-for-sportsbook-sports-betting/,3
12,https://www.freelancer.com/projects/graphic-design/vedio-chatting-website-for-lessons/,0
13,https://www.freelancer.com/projects/graphic-design/build-website-like-unbounce-com-17437012/,0
14,https://www.freelancer.com/projects/php/extract-total-time-total-licenses/,5
15,https://www.freelancer.com/projects/video-services/cut-promo-video-for-gps/,5
16,https://www.freelancer.com/projects/php/open-source-developer/,5
17,https://www.freelancer.com/projects/articles/ghost-writer-short-stories/,5
18,https://www.freelancer.com/projects/graphic-design/business-card-require-redone/,0
19,https://www.freelancer.com/projects/articles/turn-personal-narratives-senior-citizens/,0
20,https://www.freelancer.com/projects/php/help-solving-functions-wordpress-17365216/,5
22,https://www.freelancer.com/projects/articles/write-answer-answer-the-open/,5
23,https://www.freelancer.com/projects/software-architecture/long-sql-not-running-python/,0
24,https://www.freelancer.com/projects/research/research-assistant-iraqi-arab-politics/,5
25,https://www.freelancer.com/projects/graphic-design/very-fast-adobe-indesign-work/,5
26,https://www.freelancer.com/projects/mobile-phone/mobile-development-17313285/,0
27,https://www.freelancer.com/projects/graphic-design/find-matches-wordpress-website/,5
28,https://www.freelancer.com/projects/php/web-mobile-tool-for-staffing/,2
29,https://www.freelancer.com/projects/mobile-phone/need-year-old-son-apple/,4
30,https://www.freelancer.com/projects/php/mysql-work-update-for-srf/,4
31,https://www.freelancer.com/projects/internet-marketing/sales-for-online-digital-marketing/,0
32,https://www.freelancer.com/projects/graphic-design/design-develop-esports-website-platform/,4
33,https://www.freelancer.com/projects/graphic-design/build-website-for-customized-video/,1
34,https://www.freelancer.com/projects/software-architecture/knowledgeable-expert-needed-for-windows/,5
35,https://www.freelancer.com/projects/php/need-master-wordpress-php/,5
36,https://www.freelancer.com/projects/php/ico-script-ico-lister-script/,5
37,https://www.freelancer.com/projects/email-handling/help-with-email-godaddy-integration/,5
38,https://www.freelancer.com/projects/graphic-design/edits-the-website-www-ubiquityrobotics/,0
39,https://www.freelancer.com/projects/python/you-have-design-the-selection-17221786/,2
40,https://www.freelancer.com/projects/graphic-design/design-institutional-website/,0
41,https://www.freelancer.com/projects/mobile-phone/hybrid-mobile-app-development-17194767/,4
42,https://www.freelancer.com/projects/graphic-design/youtube-intro-ended-last-intro/,1
43,https://www.freelancer.com/projects/facebook-marketing/step-step-learn-facebook-google/,5
44,https://www.freelancer.com/projects/excel/analyse-data-spss/,0
45,https://www.freelancer.com/projects/internet-marketing/move-mailchimp-lists-automation/,1
46,https://www.freelancer.com/projects/mobile-phone/ios-bug-fixes-17162578/,1
47,https://www.freelancer.com/projects/research-writing/project-management-discussion/,1
48,https://www.freelancer.com/projects/english-us/investigative-research-possible-chinese-17103411/,5
49,https://www.freelancer.com/projects/english-us/investigative-research-possible-chinese/,1
50,https://www.freelancer.com/projects/html/build-webcrawler-for-icobench-com/,0
51,https://www.freelancer.com/projects/graphic-design/build-webside-webside-with-online/,0
52,https://www.freelancer.com/projects/autocad/design-development-architecture-for/,5
53,https://www.freelancer.com/projects/electrical-engineering/chip-board-test/,0
54,https://www.freelancer.com/projects/python/you-have-design-the-selection/,0
55,https://www.freelancer.com/projects/articles/design-simple-shell/,0
56,https://www.freelancer.com/projects/illustrator/sketchbookpro-artist/,4
57,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers-17035180/,5
58,https://www.freelancer.com/projects/illustrator/draw-fantasy-map-for-novel/,2
59,https://www.freelancer.com/projects/php/german-theme-web-designer-wordpress/,5
60,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers-16999063/,5
61,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers-16992691/,5
62,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers/,5
63,https://www.freelancer.com/projects/data-entry/derive-conclusions-create-buckets-from-16990548/,5
65,https://www.freelancer.com/projects/data-entry/list-apartments-our-site/,5
66,https://www.freelancer.com/projects/graphic-design/design-mobile-app-screens-based-16980816/,5
67,https://www.freelancer.com/projects/c-programming/shell-linux/,0
68,https://www.freelancer.com/projects/mobile-phone/conversion-tool-windows-phone-android/,5
69,https://www.freelancer.com/projects/graphic-design/design-mobile-app-screens-based-16970341/,5
70,https://www.freelancer.com/projects/mobile-phone/development-help-needed-make-last/,0
71,https://www.freelancer.com/projects/seo/set-drop-shipping-our-shopify/,0
72,https://www.freelancer.com/projects/graphic-design/complex-sewing-patterns-for-clothing/,2
73,https://www.freelancer.com/projects/graphic-design/drawing-space-craft/,0
74,https://www.freelancer.com/projects/rendering/modelling-objects-for-unity-mobile/,5
75,https://www.freelancer.com/projects/internet-marketing/improve-google-adwords-campaign/,5
76,https://www.freelancer.com/projects/php/email-address-verifier-16906520/,0
77,https://www.freelancer.com/projects/php/fix-phpmyadmin-curl-after-updating/,5
78,https://www.freelancer.com/projects/php/reinstall-reactivate-ssh-change/,5
79,https://www.freelancer.com/projects/php/web-development-16871231/,0
80,https://www.freelancer.com/projects/articles/research-creative-writing-with-photos/,5
81,https://www.freelancer.com/projects/mobile-phone/andriod-capture-calls/,2
82,https://www.freelancer.com/projects/graphic-design/hertfordshire-based-php-developer-needed/,2
83,https://www.freelancer.com/projects/data-entry/transcriber-proofreader-data-capturer/,0
84,https://www.freelancer.com/projects/internet-marketing/affiliate-marketing-17570305/,2
85,https://www.freelancer.com/projects/internet-marketing/affiliate-market-research/,0
86,https://www.freelancer.com/projects/php/add-new-item-sheets-when/,5
87,https://www.freelancer.com/projects/programming/open-source-developers/,5
88,https://www.freelancer.com/projects/php/ivr-psychic-system-asterix/,5
89,https://www.freelancer.com/projects/logo-design/logo-designer-for-alternative-hair/,0
90,https://www.freelancer.com/projects/software-architecture/open-source-developer-wanted-for/,5
91,https://www.freelancer.com/projects/php/looking-for-sportsbook-sports-betting/,3
92,https://www.freelancer.com/projects/graphic-design/vedio-chatting-website-for-lessons/,0
93,https://www.freelancer.com/projects/graphic-design/build-website-like-unbounce-com-17437012/,0
94,https://www.freelancer.com/projects/php/extract-total-time-total-licenses/,5
95,https://www.freelancer.com/projects/video-services/cut-promo-video-for-gps/,5
96,https://www.freelancer.com/projects/php/open-source-developer/,5
97,https://www.freelancer.com/projects/articles/ghost-writer-short-stories/,5
98,https://www.freelancer.com/projects/graphic-design/business-card-require-redone/,0
99,https://www.freelancer.com/projects/articles/turn-personal-narratives-senior-citizens/,0
100,https://www.freelancer.com/projects/php/help-solving-functions-wordpress-17365216/,5
102,https://www.freelancer.com/projects/articles/write-answer-answer-the-open/,5
103,https://www.freelancer.com/projects/software-architecture/long-sql-not-running-python/,0
104,https://www.freelancer.com/projects/research/research-assistant-iraqi-arab-politics/,5
105,https://www.freelancer.com/projects/graphic-design/very-fast-adobe-indesign-work/,5
106,https://www.freelancer.com/projects/mobile-phone/mobile-development-17313285/,0
107,https://www.freelancer.com/projects/graphic-design/find-matches-wordpress-website/,5
108,https://www.freelancer.com/projects/php/web-mobile-tool-for-staffing/,2
109,https://www.freelancer.com/projects/mobile-phone/need-year-old-son-apple/,4
110,https://www.freelancer.com/projects/php/mysql-work-update-for-srf/,4
111,https://www.freelancer.com/projects/internet-marketing/sales-for-online-digital-marketing/,0
112,https://www.freelancer.com/projects/graphic-design/design-develop-esports-website-platform/,4
113,https://www.freelancer.com/projects/graphic-design/build-website-for-customized-video/,1
114,https://www.freelancer.com/projects/software-architecture/knowledgeable-expert-needed-for-windows/,5
115,https://www.freelancer.com/projects/php/need-master-wordpress-php/,5
116,https://www.freelancer.com/projects/php/ico-script-ico-lister-script/,5
117,https://www.freelancer.com/projects/email-handling/help-with-email-godaddy-integration/,5
118,https://www.freelancer.com/projects/graphic-design/edits-the-website-www-ubiquityrobotics/,0
119,https://www.freelancer.com/projects/python/you-have-design-the-selection-17221786/,2
120,https://www.freelancer.com/projects/graphic-design/design-institutional-website/,0
121,https://www.freelancer.com/projects/mobile-phone/hybrid-mobile-app-development-17194767/,4
122,https://www.freelancer.com/projects/graphic-design/youtube-intro-ended-last-intro/,1
123,https://www.freelancer.com/projects/facebook-marketing/step-step-learn-facebook-google/,5
124,https://www.freelancer.com/projects/excel/analyse-data-spss/,0
125,https://www.freelancer.com/projects/internet-marketing/move-mailchimp-lists-automation/,1
126,https://www.freelancer.com/projects/mobile-phone/ios-bug-fixes-17162578/,1
127,https://www.freelancer.com/projects/research-writing/project-management-discussion/,1
128,https://www.freelancer.com/projects/english-us/investigative-research-possible-chinese-17103411/,5
129,https://www.freelancer.com/projects/english-us/investigative-research-possible-chinese/,1
130,https://www.freelancer.com/projects/html/build-webcrawler-for-icobench-com/,0
131,https://www.freelancer.com/projects/graphic-design/build-webside-webside-with-online/,0
132,https://www.freelancer.com/projects/autocad/design-development-architecture-for/,5
133,https://www.freelancer.com/projects/electrical-engineering/chip-board-test/,0
134,https://www.freelancer.com/projects/python/you-have-design-the-selection/,0
135,https://www.freelancer.com/projects/articles/design-simple-shell/,0
136,https://www.freelancer.com/projects/illustrator/sketchbookpro-artist/,4
137,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers-17035180/,5
138,https://www.freelancer.com/projects/illustrator/draw-fantasy-map-for-novel/,2
139,https://www.freelancer.com/projects/php/german-theme-web-designer-wordpress/,5
140,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers-16999063/,5
141,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers-16992691/,5
142,https://www.freelancer.com/projects/data-entry/derive-conclusions-buckets-from-answers/,5
143,https://www.freelancer.com/projects/data-entry/derive-conclusions-create-buckets-from-16990548/,5
